epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,603.425,1.00848,1.55472,1.39683,0.73287,0.71782,0.76669,0.5527,1.09276,1.18144,1.49268,0.000114904,0.000114904,0.000114904
2,-18532,1.03304,1.19521,1.41125,0.72006,0.71911,0.76891,0.55138,1.07083,1.14051,1.50059,0.00021473,0.00021473,0.00021473
3,-17848.9,1.02575,1.13905,1.40625,0.78542,0.71569,0.79234,0.58181,1.05296,1.04219,1.47469,0.000299377,0.000299377,0.000299377
4,-17163.4,0.99022,1.0387,1.37872,0.83865,0.75229,0.84003,0.62425,0.98999,0.87865,1.4059,0.00027669,0.00027669,0.00027669
5,-16481.1,0.93806,0.93362,1.33487,0.84573,0.76966,0.85258,0.66165,0.92625,0.79612,1.3436,0.00025392,0.00025392,0.00025392
6,-15520.5,0.90061,0.82091,1.38217,0.8613,0.77479,0.85868,0.65981,0.92462,0.75919,1.34702,0.00023115,0.00023115,0.00023115
7,-14882.2,0.85896,0.7339,1.3437,0.83533,0.80493,0.87927,0.68622,0.89117,0.70908,1.30744,0.00020838,0.00020838,0.00020838
8,-14241.1,0.81155,0.66425,1.30152,0.88629,0.80132,0.883,0.69512,0.86896,0.67334,1.29474,0.00018561,0.00018561,0.00018561
9,-13560.6,0.78406,0.61308,1.28121,0.87663,0.81139,0.89125,0.70596,0.85945,0.64445,1.27734,0.00016284,0.00016284,0.00016284
10,-12481.4,0.75279,0.57059,1.25136,0.85,0.83765,0.89709,0.71932,0.83065,0.59367,1.25092,0.00014007,0.00014007,0.00014007
11,-11848,0.71802,0.52608,1.22397,0.86101,0.85992,0.90694,0.72951,0.8144,0.58315,1.23091,0.0001173,0.0001173,0.0001173
12,-11181.2,0.68826,0.48744,1.1961,0.87368,0.85271,0.90863,0.74103,0.79013,0.55484,1.20959,9.453e-05,9.453e-05,9.453e-05
13,-9903.04,0.66012,0.45107,1.173,0.86709,0.88869,0.91586,0.7466,0.77897,0.53204,1.20574,7.176e-05,7.176e-05,7.176e-05
14,-8701.02,0.62984,0.418,1.14997,0.85383,0.89655,0.91853,0.75388,0.76857,0.51834,1.19303,4.899e-05,4.899e-05,4.899e-05
15,-8044.66,0.60219,0.39128,1.1269,0.86719,0.90003,0.92408,0.76012,0.76132,0.50812,1.18401,2.622e-05,2.622e-05,2.622e-05
